y,x,filtered_y,filtered_x
-0.01907378,-0.002441443,-0.00106328,-0.0001360998
-0.01956207,-0.002929732,-0.002843424,-0.0003876941
-0.01907378,-0.002441443,-0.004034362,-0.0005555292
-0.01907378,-0.002929732,-0.005694934,-0.000782363
-0.01858549,-0.002441443,-0.006931932,-0.0009730469
-0.0180972,-0.001953155,-0.008466423,-0.001127165
-0.01858549,-0.002929732,-0.009735342,-0.001326283
-0.01907378,-0.002441443,-0.01130092,-0.001541496
-0.01858549,-0.002441443,-0.01262798,-0.001702487
-0.01907378,-0.002441443,-0.01414646,-0.001909882
-0.01907378,-0.002929732,-0.01416634,-0.001928705
-0.01907378,-0.002929732,-0.01411368,-0.001945598
-0.01907378,-0.002441443,-0.0141246,-0.001938626
-0.01907378,-0.002441443,-0.01411502,-0.001909801
-0.01907378,-0.002929732,-0.01415827,-0.00192822
-0.01858549,-0.002929732,-0.0141982,-0.00201609
-0.01858549,-0.002929732,-0.01419862,-0.002008069
-0.01956207,-0.002929732,-0.01421803,-0.002049856
-0.01858549,-0.002441443,-0.01424993,-0.002055701
-0.01956207,-0.002441443,-0.01424266,-0.002051416
-0.01858549,-0.002929732,-0.01426227,-0.00204757
-0.01907378,-0.002929732,-0.01420464,-0.002050371
-0.01858549,-0.002929732,-0.01422644,-0.002082867
-0.02005035,-0.002441443,-0.01422118,-0.002096618
-0.01907378,-0.002929732,-0.01430715,-0.002077533
-0.01907378,-0.002929732,-0.01426915,-0.002093475
-0.02102693,-0.002929732,-0.01447966,-0.002079591
-0.01907378,-0.002929732,-0.01446207,-0.002091263
-0.01907378,-0.002441443,-0.01447969,-0.002089166
-0.01858549,-0.002929732,-0.01443669,-0.002118939
-0.01858549,-0.002441443,-0.01440736,-0.00209972
-0.01858549,-0.002929732,-0.0143982,-0.002075019
-0.01907378,-0.004394598,-0.01440024,-0.002177382
-0.01858549,-0.002441443,-0.01433424,-0.002220387
-0.01907378,-0.003418021,-0.01428198,-0.002204233
-0.01858549,-0.002929732,-0.01429899,-0.00225908
-0.01907378,-0.002929732,-0.01410227,-0.00221257
-0.01907378,-0.002441443,-0.01413487,-0.002225345
-0.01907378,-0.002929732,-0.01410662,-0.002208934
-0.01907378,-0.002929732,-0.01416572,-0.002256608
-0.01907378,-0.002441443,-0.01418401,-0.002223816
-0.01858549,-0.002441443,-0.01421003,-0.002217419
-0.01858549,-0.002929732,-0.01415332,-0.00207597
-0.01907378,-0.002929732,-0.0141958,-0.002130375
-0.0180972,-0.002929732,-0.01413835,-0.002082051
-0.01907378,-0.002929732,-0.01414053,-0.002089343
-0.0180972,-0.002929732,-0.01411725,-0.002082921
-0.01907378,-0.002929732,-0.0140548,-0.002123511
-0.01907378,-0.001953155,-0.0141073,-0.002068042
-0.01907378,-0.002929732,-0.01406181,-0.002033548
-0.01858549,-0.002441443,-0.014073,-0.002070501
-0.01907378,-0.002441443,-0.01405742,-0.002039404
-0.01858549,-0.002929732,-0.01411203,-0.002058299
-0.01907378,-0.002441443,-0.01405786,-0.00201432
-0.0180972,-0.002441443,-0.01411971,-0.001983329
-0.01760891,-0.001953155,-0.01397053,-0.001913881
-0.0180972,-0.002441443,-0.01399057,-0.001863522
-0.01858549,-0.002441443,-0.01393064,-0.001837444
-0.01907378,-0.002441443,-0.01393956,-0.001861128
-0.01907378,-0.001953155,-0.01393068,-0.001812115
